leiden_r06,x_aligned,y_aligned,CD274
CAF,385.5699768066406,213.84988403320312,0.0
CAF,377.8816833496094,216.05517578125,0.0
CAF,376.3540344238281,243.3905029296875,0.0
CAF,381.86566162109375,239.95240783691406,0.0
CAF,412.4469299316406,195.98277282714844,0.0
CAF,428.4534606933594,187.93528747558594,0.0
CAF,419.8982849121094,195.68482971191406,0.0
CAF,451.530029296875,202.6133270263672,0.0
CAF,457.31719970703125,203.83290100097656,2.7045107
CAF,457.4796142578125,211.3877716064453,0.0
CAF,435.0941162109375,206.63546752929688,0.0
CAF,435.5294494628906,198.7084197998047,0.0
CAF,429.7301330566406,194.1802520751953,0.0
CAF,457.4962158203125,192.00758361816406,0.0
CAF,464.5855712890625,198.25064086914062,0.0
CAF,457.69781494140625,200.9487762451172,0.0
CAF,381.39349365234375,205.71092224121094,0.0
CAF,399.02880859375,197.5991668701172,0.0
CAF,423.0600280761719,202.73452758789062,0.0
CAF,407.9657897949219,196.72547912597656,0.0
CAF,412.0252380371094,201.6341094970703,0.0
CAF,405.0828552246094,199.47862243652344,0.0
CAF,681.8231811523438,262.0307922363281,0.0
CAF,589.3703002929688,327.42535400390625,0.0
CAF,586.162353515625,333.34185791015625,0.0
CAF,590.90478515625,373.834716796875,0.0
CAF,579.1133422851562,348.97076416015625,0.0
CAF,603.5621337890625,353.62109375,0.0
CAF,583.3877563476562,347.397216796875,0.0
CAF,560.3224487304688,390.5130615234375,0.0
CAF,575.8176879882812,357.0953369140625,0.0
CAF,445.49652099609375,178.12669372558594,0.0
CAF,448.7211608886719,174.45339965820312,0.0
CAF,451.78228759765625,187.7215118408203,0.0
CAF,472.5671081542969,186.34645080566406,0.0
CAF,479.6805419921875,196.37033081054688,0.0
CAF,481.0745849609375,182.5184326171875,0.0
CAF,473.8941650390625,174.58529663085938,0.0
CAF,468.7813415527343,186.50001525878906,0.0
CAF,462.6767272949219,178.3970184326172,0.0
CAF,571.6070556640625,141.53675842285156,0.0
CAF,555.34130859375,141.78163146972656,0.0
CAF,579.8365478515625,148.32810974121094,0.0
CAF,585.1907958984375,152.84234619140625,0.0
CAF,648.6148071289062,155.2285919189453,0.0
CAF,697.7654418945312,186.4116973876953,0.0
CAF,699.8976440429688,203.43121337890625,0.0
CAF,689.4619140625,201.10020446777344,0.0
CAF,685.5576782226562,195.16351318359375,0.0
CAF,658.4348754882812,153.52764892578125,0.0
CAF,574.7101440429688,158.6116485595703,2.167218
CAF,570.4796142578125,158.31398010253906,2.4331756
CAF,521.3449096679688,152.20654296875,0.0
CAF,513.8905029296875,167.51992797851562,0.0
CAF,507.7471923828125,173.3588104248047,0.0
CAF,493.2625732421875,189.3096160888672,0.0
CAF,532.1261596679688,169.59803771972656,0.0
CAF,547.7045288085938,153.111083984375,0.0
CAF,857.2216186523438,303.9846496582031,0.0
CAF,866.3818969726562,322.5779724121094,0.0
CAF,868.0759887695312,329.8075866699219,0.0
CAF,866.74072265625,314.6836242675781,0.0
CAF,892.5257568359375,359.88665771484375,3.2135155
CAF,889.8758544921875,336.8976135253906,0.0
CAF,893.8563842773438,333.7713623046875,0.0
CAF,914.9046630859375,484.5810546875,0.0
CAF,913.044677734375,483.7025146484375,0.0
CAF,919.1331787109375,521.3464965820312,0.0
CAF,934.5531616210938,521.0372314453125,0.0
CAF,934.419189453125,539.1458129882812,0.0
CAF,937.6959228515625,543.8882446289062,0.0
CAF,944.292724609375,519.1239013671875,2.5843675
CAF,947.4495239257812,534.4027709960938,0.0
CAF,946.1947631835938,519.1473999023438,0.0
CAF,937.4249877929688,518.22705078125,0.0
CAF,933.8043823242188,505.4903564453125,0.0
CAF,939.7249145507812,512.6244506835938,0.0
CAF,937.2927856445312,489.271240234375,0.0
CAF,933.6932983398438,500.7043762207031,0.0
CAF,934.3345336914062,487.77825927734375,0.0
CAF,929.473388671875,489.00738525390625,0.0
CAF,933.593017578125,495.6825256347656,0.0
CAF,927.1318359375,490.7335510253906,0.0
CAF,911.701171875,504.5321350097656,0.0
CAF,928.8329467773438,509.74822998046875,0.0
CAF,921.642333984375,494.06744384765625,0.0
